filename,clause_text
 064-19 Non Disclosure Agreement 2019.pdf,NON-DISCLOSURE AGREEMENT
 064-19 Non Disclosure Agreement 2019.pdf,Required under JEA's Confidential Information Protection Program
 064-19 Non Disclosure Agreement 2019.pdf,"THIS NON-DISCLOSURE AGREEMENT (""Agreement"") is entered into this ______day of"
 064-19 Non Disclosure Agreement 2019.pdf,"__________ by and between JEA, located at 21 West Church Street, Jacksonville, Florida 32202 (the ""Discloser""), and ____________________________________________________________"
 064-19 Non Disclosure Agreement 2019.pdf,with an address at
 064-19 Non Disclosure Agreement 2019.pdf,______________________________________________
 064-19 Non Disclosure Agreement 2019.pdf,"(the ""Recipient"") (hereafter Discloser and Recipient shall be referred to as the PARTIES}."
 064-19 Non Disclosure Agreement 2019.pdf,"WHEREAS, the Recipient desires to work with the discloser and/or view"
 064-19 Non Disclosure Agreement 2019.pdf,______________________________________________________________________documents
 064-19 Non Disclosure Agreement 2019.pdf,regarding
 064-19 Non Disclosure Agreement 2019.pdf,____________________________________
 064-19 Non Disclosure Agreement 2019.pdf,"(the ""Transaction""); and"
 064-19 Non Disclosure Agreement 2019.pdf,"WHEREAS, the discloser is required by its internal policies, state and federal laws, rules, regulations or standards to ensure that sensitive and confidential information is protected and not disclosed to the public;"
 064-19 Non Disclosure Agreement 2019.pdf,"WHEREAS, the Parties have entered into a transaction related to the _______________________."
 064-19 Non Disclosure Agreement 2019.pdf,The terms of those agreements are incorporated herein.
 064-19 Non Disclosure Agreement 2019.pdf,JEA & Florida State Sunshine Application - JEA is a publicly owned utility and all official information sharing is governed by Florida Sunshine Laws.
 064-19 Non Disclosure Agreement 2019.pdf,The Florida Sunshine law is a series of laws designed to guarantee that the public has access to the public records of governmental bodies in Florida.
 064-19 Non Disclosure Agreement 2019.pdf,"However, as per the Florida Sunshine Law, certain information that could impact safe and secure operation is exempt which includes information classified and protected under federal regulatory standards such as NERC CIP, HIPAA, FCRA, and FACTA."
 064-19 Non Disclosure Agreement 2019.pdf,"Section 119.0713(4)(a), 5(a), F.S. govern any local government agency exemptions from inspection or copying of public records and exempts certain information including Security measures, systems, or procedures from public disclosure including -"
 064-19 Non Disclosure Agreement 2019.pdf,"I. Information related to the security of the technology, processes, or practices of a utility owned or operated by a unit of local government that are designed to protect the utility's networks, computers, programs, and data from attack, damage, or unauthorized access, which information, if disclosed, would facilitate the alteration, disclosure, or destruction of such data or information technology resources."
 064-19 Non Disclosure Agreement 2019.pdf,"II. Information related to the security of existing or proposed information technology systems or industrial control technology systems of a utility owned or operated by a unit of local government, which, if disclosed, would facilitate unauthorized access to, and alteration or destruction of, such systems in a manner that would adversely impact the safe and reliable operation of the systems and the utility."
 064-19 Non Disclosure Agreement 2019.pdf,III. Results of periodic internal audits and evaluations of the security program for an agency's data and information technology resources are confidential and exempt.
 064-19 Non Disclosure Agreement 2019.pdf,This agreement applies to disclosure of the protected information that is exempt from Florida Sunshine Law disclosure and in no shape or manner would this agreement supersede the provisions of Florida Sunshine Law.
 064-19 Non Disclosure Agreement 2019.pdf,"NOW THEREFORE, in consideration of moving forward with the Transaction, the Recipient and the Discloser agrees as follows:"
 064-19 Non Disclosure Agreement 2019.pdf,1. Definition of Confidential Information.
 064-19 Non Disclosure Agreement 2019.pdf,"For purposes of this Agreement, ""Confidential Information"" means any data or information that is proprietary to the Parties and not generally known to the public, whether in tangible or intangible form, whenever and however disclosed, including but not limited to:"
 064-19 Non Disclosure Agreement 2019.pdf,a. the documents described in the Whereas clause above;
 064-19 Non Disclosure Agreement 2019.pdf,b. Critical Infrastructure Information (CII) or Bulk Electric System Information (BCSI) or Security Sensitive Information (SSI) classified by JEA
 064-19 Non Disclosure Agreement 2019.pdf,c. Protected Health Information in both physical and electronic form (PHI and ePHI)
 064-19 Non Disclosure Agreement 2019.pdf,d. Personal Identifiable Information (PII)
 064-19 Non Disclosure Agreement 2019.pdf,"e. any protected, non-public information concerning the design or operation of present or future critical infrastructure;"
 064-19 Non Disclosure Agreement 2019.pdf,"f. any information that could be used to compromise or expose the vulnerability of the Parties Cyber systems, processes, programs data, communications, energy and operations systems or structures;"
 064-19 Non Disclosure Agreement 2019.pdf,"g. any Copyright application code, source code, technical design (not released for open use), trade secret, scientific or technical information, invention, design, process, procedure, formula, improvement, technology or method;"
 064-19 Non Disclosure Agreement 2019.pdf,"h. any computer software, source code, object code, flow charts or databases; and"
 064-19 Non Disclosure Agreement 2019.pdf,i. any other information that should reasonably be recognized as sensitive or confidential information of the Recipient or the disclosing party.
 064-19 Non Disclosure Agreement 2019.pdf,"Confidential Information shall not include information required to be disclosed in a judicial or administrative proceeding, or otherwise required to be disclosed by law or regulation, although the requirements of paragraph 6 hereof shall apply prior to any disclosure being made."
 064-19 Non Disclosure Agreement 2019.pdf,2. Prohibition on Disclosure of Confidential Information.
 064-19 Non Disclosure Agreement 2019.pdf,The Parties will:
 064-19 Non Disclosure Agreement 2019.pdf,"a. limit disclosure of any Confidential Information to its directors, officers, employees, agents or representatives (collectively ""Representatives"") who have a need to know such Confidential Information in connection with the Transaction, and only for that purpose;"
 064-19 Non Disclosure Agreement 2019.pdf,"b. keep all Confidential Information strictly confidential by using a reasonable degree of care, but not less than the degree of care used by it in safeguarding its own confidential information; and"
 064-19 Non Disclosure Agreement 2019.pdf,c. not disclose any Confidential Information received to any third parties (except as otherwise provided for herein).
 064-19 Non Disclosure Agreement 2019.pdf,The Recipient shall provide the Discloser with original signed copies of all of the Acknowledgements required under the preceding paragraph.
 064-19 Non Disclosure Agreement 2019.pdf,The Parties shall be responsible for any breach of this Agreement by any of their respective Representatives.
 064-19 Non Disclosure Agreement 2019.pdf,3. Use of Confidential Information.
 064-19 Non Disclosure Agreement 2019.pdf,The Parties agree to use the Confidential Information solely in connection with the Transaction and not for any purpose other than as authorized by this Agreement without the prior written consent of an authorized representative of the Parties.
 064-19 Non Disclosure Agreement 2019.pdf,"No other right or license, whether expressed or implied, in the Confidential Information is granted to the Parties hereunder."
 064-19 Non Disclosure Agreement 2019.pdf,Title to the Confidential Information will remain solely with the Party.
 064-19 Non Disclosure Agreement 2019.pdf,All use of Confidential Information by the Parties shall be for the benefit of the Parties and any modifications and improvements thereof by the Recipient shall be the sole property of Discloser.
 064-19 Non Disclosure Agreement 2019.pdf,"Notwithstanding the foregoing, Confidential Information shall include any proprietary records created in the course of the Recipient's course of engagement such as customized code, configuration, flowcharts or project data that was specifically designed to meet the needs of the Discloser."
 064-19 Non Disclosure Agreement 2019.pdf,"The Parties agree to ensure that all copyright products, such as source codes, system design data/architecture, and other proprietary information, disclosed during the engagement is protected from any misuse, alteration, modification, sharing, or transfer to any party without express permission of the Discloser."
 064-19 Non Disclosure Agreement 2019.pdf,"Such data is provided for the sole use of the Parties, and limited for the use under this agreement."
 064-19 Non Disclosure Agreement 2019.pdf,4. Obligations of Receiving Party.
 064-19 Non Disclosure Agreement 2019.pdf,a. No Use.
 064-19 Non Disclosure Agreement 2019.pdf,"The Receiving Party agrees not to use the Confidential Information in any way, or to manufacture or test any product embodying Confidential Information, except for the purpose set forth above."
 064-19 Non Disclosure Agreement 2019.pdf,b. No Disclosure.
 064-19 Non Disclosure Agreement 2019.pdf,"The Receiving Party agrees to use the same degree of protection it uses for its own trade secret information, and in no event less than reasonable efforts, to prevent and protect the Confidential Information, or any part thereof, from disclosure to any person other than the Receiving Party's employees having a need for disclosure in connection with the Receiving Party's authorized use of the Confidential Information."
 064-19 Non Disclosure Agreement 2019.pdf,c. Protection of Secrecy.
 064-19 Non Disclosure Agreement 2019.pdf,"The Receiving Party agrees to take all steps reasonably within its control to protect the secrecy of the Confidential Information, and to prevent the Confidential Information from falling into the public domain or into the possession of unauthorized persons."
 064-19 Non Disclosure Agreement 2019.pdf,d. No Duplication.
 064-19 Non Disclosure Agreement 2019.pdf,The Receiving Party shall not duplicate Confidential Information furnished in tangible form except for purposes of this Agreement.
 064-19 Non Disclosure Agreement 2019.pdf,"e. Return of Information. on a Party's request, the other Party shall return all Confidential Information of the requesting Party, except for that portion of such Confidential Information that may be found in analyses prepared by, or for, the returning Party (collectively, ""Analyses""), and the returning Party and its Representatives shall not retain any copies of such Confidential Information except the returning Party may retain one copy of the Confidential Information as needed to comply with applicable law and/or returning Party's record retention policies."
 064-19 Non Disclosure Agreement 2019.pdf,"The Confidential Information retained by the returning Party, the portion of Confidential Information that may be found in Analyses prepared by, or for, the returning Party, and any Confidential Information furnished by the requesting Party not so requested or returned, will be held by the returning Party and kept subject to the terms of this Agreement or destroyed."
 064-19 Non Disclosure Agreement 2019.pdf,5. Limits on Confidential Information.
 064-19 Non Disclosure Agreement 2019.pdf,The obligations and restrictions imposed by this Agreement will not apply to any information that:
 064-19 Non Disclosure Agreement 2019.pdf,"a. The Recipient can demonstrate was already known to the Recipient prior to the disclosure by the Discloser; or,"
 064-19 Non Disclosure Agreement 2019.pdf,"b. has become publicly known through no wrongful act of the Recipient; or,"
 064-19 Non Disclosure Agreement 2019.pdf,"c. was received by the Recipient without breach of this Agreement from a third party without restriction as to the use and disclosure of the Discloser's Confidential Information; or,"
 064-19 Non Disclosure Agreement 2019.pdf,d. was independently developed by the Recipient without use of the Discloser's Confidential Information; or
 064-19 Non Disclosure Agreement 2019.pdf,e. was ordered to be publicly released by the requirement of a government agency.
 064-19 Non Disclosure Agreement 2019.pdf,"In this regard, the Parties understand that the Discloser is subject to Florida's Public Records Act, Chapter 119, Florida Statutes, and that section 1004.22, Florida Statutes, provides limited protection of documents received by the Discloser."
 064-19 Non Disclosure Agreement 2019.pdf,6. Compelled Disclosure of Confidential Information.
 064-19 Non Disclosure Agreement 2019.pdf,"a. The Recipient may disclose Confidential Information pursuant to any governmental, judicial, or administrative order, subpoena, discovery request, regulatory request or similar method, provided that the Recipient promptly notifies, to the extent practicable."
 064-19 Non Disclosure Agreement 2019.pdf,"b. The Recipient agrees that it shall not oppose and shall cooperate with efforts by, to the extent practicable, with respect to any such request for a protective order or other relief to preserve the confidentiality of the Confidential Information."
